year_group,full_text_records
2006,66
2007,46
2008,31
2009,34
2010,39
2011,40
2012,64
2013,60
2014,128
2015,71
2016,67
2017,69
2018,100
2019,109
2020,133
2021,156
2022,93
2023,70
2024,170
2025,154
2026,73
Unknown,3
