key,source,source_id,url,title,published_upstream_verbatim,raw_post_date_verbatim,resolution
substack:six-wistful-winter-poems,substack,179012679,https://www.theobjectivestandard.com/p/six-wistful-winter-poems,Six Wistful Winter Poems,0002-11-15T23:41:15.000Z,0002-11-15T23:41:15.000Z,"pub_date NULL, pub_year NULL; upstream date not recoverable"
substack:letter-from-tos-reader-burgess-laughlin,substack,170693021,https://www.theobjectivestandard.com/p/letter-from-tos-reader-burgess-laughlin,Letter from TOS Reader Burgess Laughlin,0002-09-01T15:34:15.000Z,0002-09-01T15:34:15.000Z,"pub_date NULL, pub_year NULL; upstream date not recoverable"
substack:letter-to-the-editor-how-to-evaluate,substack,170804636,https://www.theobjectivestandard.com/p/letter-to-the-editor-how-to-evaluate,Letter to the Editor: How to Evaluate the Black Lives Matter Movement,0002-08-12T18:02:15.000Z,0002-08-12T18:02:15.000Z,"pub_date NULL, pub_year NULL; upstream date not recoverable"
