doc_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
substack:introducing-the-objective-standard,0.10614821543121826,0.11835281007086923,0.10760219663220992,0.2586678450640629,0.14985444028881878,0.25937449251282096
substack:just-war-theory,0.21513044153398078,0.14759264080328363,0.2513950433617144,0.1440608692706136,0.13656429395743977,0.10525671107296782
substack:enlightenment-science,0.120468461687787,0.15593589379543063,0.06372832238850856,0.0902741493642679,0.49569905462822605,0.07389411813577981
substack:anti-muslim-conspiracies,0.2239008061625266,0.13007222402224256,0.22208672996227602,0.11682882473787157,0.24004930600139657,0.06706210911368692
substack:hierarchy-of-knowledge,0.1485063990520102,0.2651308188158143,0.07115318008031324,0.08710405089446403,0.3385751372915777,0.08953041386582063
substack:faith-and-the-founders,0.2402557710059344,0.1464047536621663,0.25502959638415157,0.10448279981003028,0.16970702659391737,0.08412005254380003
substack:tribute-to-iran,0.17801396555249457,0.11706016813623055,0.38938596481283977,0.08558863783942608,0.15007445300944822,0.0798768106495607
substack:a-victory-for-abstract-concepts-of,0.19693340875676552,0.1568254077217429,0.23172083412616612,0.14010385022980784,0.16179169163941806,0.11262480752609981
substack:from-the-editor-2,0.11112388030657214,0.11521460607249413,0.4709200529613285,0.10524340898634651,0.10251240163418945,0.09498565003906917
substack:religion-vs-free-speech,0.12493974627520942,0.1339605376580119,0.06692952636689538,0.3392802242365981,0.14407710763199472,0.1908128578312907
substack:getting-more-enjoyment-from-art-you-love,0.20973658262810002,0.13945479732670915,0.3600227436190139,0.06268577579380266,0.15658881246180276,0.07151128817057173
substack:19th-century-atomic-war,0.0964248645708185,0.1452123327695492,0.04542454669491299,0.08427000115078366,0.5598856125544069,0.06878264225952874
substack:william-tecumseh-sherman,0.17483291189529973,0.140249902811912,0.3665911780269581,0.07684144232116202,0.18010900488764403,0.06137556005702396
substack:letters-replies,0.1603690902860691,0.18984996853170355,0.27436518744677424,0.12139083147602979,0.16564918447960508,0.08837573777981812
substack:teaching-values-classroom,0.18596301707146048,0.17139261691817081,0.32204659781264205,0.0920777708275109,0.15839036181866487,0.07012963555155091
substack:altruism-the-morality-of-logical-fallacies,0.12127138557073239,0.17594743389789028,0.1001191204889049,0.2274625421146354,0.16407521247010062,0.21112430545773636
substack:the-society-for-military-history,0.15804297910600684,0.14207436415427163,0.3507265220673893,0.09463201190419036,0.1616936791290722,0.09283044363906973
substack:michael-farris-interview-on-fresh,0.19470821336156274,0.11732624844816898,0.40246316153801487,0.08956038166351961,0.11736738513527048,0.07857460985346343
substack:theocracy-and-precedent,0.175392501582772,0.14805352447279813,0.2508909737925637,0.14721691192021322,0.1587771268323648,0.11966896139928818
substack:notes-on-the-near-eastern-legacy,0.19263276976277968,0.21013157632490112,0.2286529645696526,0.08157371164019167,0.22506447476180458,0.06194450294067011
substack:legitimizing-the-iranian-theocracy,0.2113958956908676,0.14328599484287322,0.23711100835515153,0.08404948911909896,0.2610457286975741,0.0631118832944344
substack:heroes-at-harvard,0.15266112363777992,0.18046329979897402,0.17797251293931463,0.15056773874522808,0.17076974540962367,0.1675655794690798
substack:sex-changes-for-freedom,0.17984468748544066,0.11662043907834739,0.4008917082148819,0.08180038851123916,0.14423557275361834,0.07660720395647252
substack:terrorism-and-the-koran,0.1362880291826627,0.13722100281328248,0.38561529442438036,0.11116383396293603,0.09386547626158608,0.13584636335515232
substack:altruism-the-morality-of-suffering,0.15953630876885663,0.1352814860564047,0.180919411353751,0.19624099083500607,0.16749247923727373,0.16052932374870796
substack:somalia-and-our-tragic-flaw,0.16514649592282885,0.1162209101897807,0.3549616405216411,0.11794470385345056,0.1553728716947613,0.09035337781753768
substack:its-religion-and-altruism-stupid-092,0.19895097089489047,0.15147578045187043,0.2978969037555341,0.09928763723868617,0.13304315001010403,0.11934555764891483
substack:of-mice-and-men,0.15205556820718247,0.1944723832415116,0.16500588821144446,0.15149980239567432,0.16087687127486366,0.17608948666932356
substack:its-religion-and-altruism-stupid,0.19234052477615599,0.12993428355728276,0.3163743505347322,0.10285212663633987,0.17212165299873108,0.08637706149675795
substack:on-a-deluded-america,0.126128181879001,0.10610217543827358,0.5191716235712098,0.07695848774273836,0.09056083380217722,0.0810786975665998
substack:gay-marriage-and-rights-vs-democracy,0.10132526888331018,0.11783737240529181,0.25095917262787193,0.23283254450017907,0.09142524418268232,0.20562039740066473
substack:the-taliban-can-because-we-let-them,0.15906865116382343,0.11910036741430897,0.4041523269604381,0.09464285423076033,0.13247790558740993,0.09055789464325906
substack:irans-lucky-break,0.14828339765720006,0.11683473772305984,0.4035123853518515,0.12252145160345573,0.09630501541618161,0.11254301224825107
substack:hezbollah-murders-56-lebanese-including,0.09894962967170594,0.08818132133985085,0.5022686926262699,0.09991944062685004,0.0687544333275019,0.14192648240782138
substack:from-the-editor-3,0.12428518053735879,0.15269179724569182,0.3198031649581097,0.12994185323623644,0.11844588871031177,0.1548321153122914
substack:jihad-on-america,0.1747111444402549,0.1651176067260209,0.2677630603532774,0.12384291041422703,0.163780336521261,0.10478494154495885
substack:letters-replies-2,0.20325389169502933,0.12068477440099232,0.3813840488820089,0.09509343386366881,0.13350391544375867,0.0660799357145421
substack:decline-fall-american-conservatism,0.19851209852744386,0.1069602923713959,0.4450706945777773,0.07132516737826394,0.10750112985457379,0.07063061729054526
substack:as-predicted,0.20903849764449528,0.17098220847967124,0.22657501387713608,0.1075219176651651,0.20288700934350926,0.08299535299002331
substack:how-to-solve-americas-terrorism-problem,0.20644585594941214,0.1311460304706369,0.3801550813826651,0.08114928048992569,0.11952307361963116,0.08158067808772888
substack:relativism-and-religion-vs-the-lives,0.1484799995582298,0.12343322215682702,0.41877243924306934,0.0881854570027678,0.13535415551582736,0.08577472652327857
substack:a-video-from-memri-on-the-arab-and,0.10662198358735245,0.12840221792449055,0.14083062822249415,0.19095226051452535,0.14042819580402416,0.29276471394711334
substack:military-solutions-dont-work-try,0.22355713150438045,0.1587678366581218,0.19668813424993525,0.12452005321342335,0.2138545884910916,0.08261225588304753
substack:a-foreign-policy-of-nihilism,0.23543827185357966,0.14584586920030398,0.24887782476025433,0.11371454208702546,0.1672546116172192,0.08886888048161756
substack:why-our-long-overdue-retaliation,0.07967832022778586,0.05256493937808817,0.6720012864522302,0.0631603386001245,0.04013250810108734,0.09246260724068364
substack:frist-and-company-urge-compromise,0.1620171283676468,0.13216428545937325,0.3509685973525303,0.1351964791879612,0.09800263349131488,0.1216508761411734
substack:religion-would-be-a-hootif,0.17765465011769305,0.18042732412814533,0.1312367034307958,0.14819860165483942,0.26369778604271155,0.09878493462581475
substack:reply-to-a-question-about-targeting,0.14731466411732297,0.10977155317668007,0.48548846963108,0.07575808711139642,0.11643625340927735,0.06523097255424314
